index_label,单词数,超链接,带话题,疫情相关,信用等级
396,73,False,True,False,"正常
"
397,16,True,False,False,"中
"
398,39,True,True,False,"中
"
399,37,False,False,False,"中
"
400,9,True,False,False,"正常
"
401,41,True,True,False,"正常
"
402,18,True,True,False,"中
"
403,12,True,False,False,"中
"
404,46,True,True,False,"中
"
405,25,True,False,False,"正常
"
406,11,False,False,False,"正常
"
407,38,True,False,False,"中
"
408,43,False,False,False,"正常
"
409,43,False,True,False,"正常
"
410,34,False,False,False,"中
"
411,39,True,False,False,"中
"
412,21,True,False,False,"中
"
413,57,False,False,False,"正常
"
414,55,True,False,False,"中
"
415,73,False,False,False,"中
"
416,63,False,False,False,"中
"
417,26,True,False,False,"正常
"
418,32,True,False,False,"中
"
419,22,True,False,False,"正常
"
420,48,True,True,False,"中
"
421,54,False,False,True,"中
"
422,69,False,False,True,"中
"
423,47,True,False,False,"正常
"
424,50,False,False,False,"中
"
425,37,True,False,False,"中
"
426,35,False,False,False,"中
"
427,43,True,True,False,"中
"
428,14,False,False,False,"中
"
429,41,True,False,False,"正常
"
430,27,True,False,False,"正常
"
431,31,True,True,False,"正常
"
432,54,True,False,False,"中
"
433,24,True,False,False,"中
"
434,41,False,False,False,"中
"
435,23,True,False,False,"中
"
436,63,True,False,False,"中
"
437,23,True,False,False,"正常
"
438,73,False,False,False,"中
"
439,19,True,False,False,"正常
"
440,70,True,True,False,"正常
"
441,22,True,False,False,"中
"
442,20,False,True,False,"中
"
443,38,True,False,False,"中
"
444,1,False,False,False,"中
"
445,44,True,True,False,"正常
"
446,27,True,False,False,"中
"
447,39,False,True,False,"中
"
448,75,False,False,False,"中
"
449,44,False,False,False,"中
"
450,72,True,False,True,"中
"
451,1,False,False,False,"中
"
452,72,True,False,False,"中
"
453,55,True,False,False,"中
"
454,19,True,True,False,"正常
"
455,61,True,False,False,"中
"
456,18,True,True,False,"正常
"
457,62,False,False,False,"正常
"
458,69,True,False,False,"正常
"
459,17,True,False,False,"中
"
460,24,False,False,False,"正常
"
461,12,True,False,False,"中
"
462,86,False,False,False,"正常
"
463,44,True,False,False,"中
"
464,41,False,False,False,"中
"
465,44,True,True,False,"正常
"
466,21,True,True,False,"中
"
467,33,True,True,False,"中
"
468,55,False,False,False,"中
"
469,12,True,False,False,"中
"
470,35,False,False,False,"正常
"
471,41,False,False,False,"中
"
472,22,True,False,False,"中
"
473,21,True,False,False,"正常
"
474,48,True,False,False,"中
"
475,79,False,True,False,"中
"
476,75,False,False,False,"中
"
477,46,True,False,False,"正常
"
478,14,True,False,False,"中
"
479,64,False,True,False,"正常
"
480,43,True,False,False,"中
"
481,16,False,False,False,"正常
"
482,1,False,False,False,"中
"
483,1,False,False,False,"正常
"
484,21,True,False,False,"中
"
485,21,False,True,True,"中
"
486,33,True,False,False,"中
"
487,31,True,False,False,"中
"
488,43,False,False,False,"正常
"
489,17,False,False,False,"正常
"
490,31,True,True,False,"中
"
491,67,False,False,False,"中
"
492,54,True,False,False,"中
"
493,39,True,False,False,"中
"
494,16,True,False,False,"中
"
495,46,True,False,False,"中
"
496,70,True,True,False,"正常
"
497,45,True,False,False,"正常
"
498,72,False,False,False,"中
"
499,85,True,False,False,"中
"
500,41,False,False,False,"中
"
501,35,True,False,False,"中
"
502,41,False,True,False,"中
"
503,20,True,False,False,"正常
"
504,33,False,False,False,"正常
"
505,50,True,False,False,"中
"
506,39,True,True,False,"正常
"
507,48,False,False,False,"中
"
508,15,True,False,False,"中
"
509,29,False,False,False,"正常
"
510,83,False,False,False,"中
"
511,28,True,True,False,"中
"
512,33,True,False,False,"中
"
513,35,False,False,False,"中
"
514,35,True,True,False,"正常
"
515,33,True,False,False,"正常
"
516,24,True,True,False,"中
"
517,81,False,False,False,"中
"
518,58,False,False,False,"中
"
519,72,True,False,False,"中
"
520,31,True,False,False,"正常
"
521,73,False,False,False,"正常
"
522,39,False,False,True,"中
"
523,21,True,False,False,"中
"
524,69,False,False,False,"中
"
525,38,False,False,False,"中
"
526,32,True,True,False,"中
"
527,32,False,False,False,"中
"
528,57,False,False,False,"中
"
529,71,False,False,False,"中
"
